Date,Time,Magnitude,Epicenter
B.S:2067-9-3A.D:2010-12-18,Local:11:00UTC:N/A,4.1,Gorkha
B.S:2067-8-19A.D:2010-12-05,Local:11:00UTC:N/A,4.2,Bajura
B.S:2067-8-14A.D:2010-11-30,Local:11:00UTC:N/A,4.4,Mahottari
B.S:2067-8-9A.D:2010-11-25,Local:11:00UTC:N/A,4.5,Salyan
B.S:2067-8-9A.D:2010-11-25,Local:11:00UTC:N/A,4.7,Baglung
B.S:2067-6-31A.D:2010-10-17,Local:11:00UTC:N/A,5.0,Tibet
B.S:2067-5-16A.D:2010-09-01,Local:11:00UTC:N/A,4.0,Lamjung
B.S:2067-2-30A.D:2010-06-13,Local:11:00UTC:N/A,4.5,Bajura
B.S:2067-2-30A.D:2010-06-13,Local:11:00UTC:N/A,4.0,Solukhumbu
B.S:2067-2-30A.D:2010-06-13,Local:11:00UTC:N/A,4.8,Bajura
B.S:2067-1-30A.D:2010-05-13,Local:11:00UTC:N/A,4.2,Lamjung
B.S:2067-1-17A.D:2010-04-30,Local:11:00UTC:N/A,4.0,Dolakha
B.S:2067-1-1A.D:2010-04-14,Local:11:00UTC:N/A,4.2,Baglung
B.S:2066-12-31A.D:2010-04-13,Local:11:00UTC:N/A,4.5,Bajura
B.S:2066-11-17A.D:2010-03-01,Local:11:00UTC:N/A,4.3,Bajura
B.S:2066-11-16A.D:2010-02-28,Local:11:00UTC:N/A,4.1,Baglung
B.S:2066-11-13A.D:2010-02-25,Local:11:00UTC:N/A,4.6,Bajhang
B.S:2066-11-5A.D:2010-02-17,Local:11:00UTC:N/A,4.1,Dhanusa
B.S:2066-10-4A.D:2010-01-18,Local:11:00UTC:N/A,4.1,Kaski
B.S:2068-9-15A.D:2011-12-30,Local:07:55UTC:2:10 AM,4.0,Bajura
B.S:2068-9-3A.D:2011-12-18,Local:03:20UTC:9:35 PM,4.6,Taplejung
B.S:2068-8-28A.D:2011-12-14,Local:02:05UTC:8:20 PM,4.9,Taplejung
B.S:2068-8-23A.D:2011-12-09,Local:04:42UTC:10:57 PM,4.2,Taplejung
B.S:2068-8-22A.D:2011-12-08,Local:23:25UTC:5:40 PM,4.0,Pyuthan
B.S:2068-8-16A.D:2011-12-02,Local:11:00UTC:N/A,4.2,Rasuwa
B.S:2068-8-7A.D:2011-11-23,Local:11:00UTC:N/A,4.2,Dailekh
B.S:2068-8-3A.D:2011-11-19,Local:11:00UTC:N/A,4.1,Dolakha
B.S:2068-7-27A.D:2011-11-13,Local:11:00UTC:N/A,5.0,Gorkha
B.S:2068-7-22A.D:2011-11-08,Local:11:00UTC:N/A,4.1,Sindhupalchowk
B.S:2068-7-18A.D:2011-11-04,Local:11:00UTC:N/A,4.0,Parbat
B.S:2068-6-15A.D:2011-10-02,Local:11:00UTC:N/A,4.2,Bajura
B.S:2068-6-14A.D:2011-10-01,Local:11:00UTC:N/A,4.7,Humla
B.S:2068-6-1A.D:2011-09-18,Local:11:00UTC:N/A,6.8,Taplejung-Sikkim Border
B.S:2068-5-10A.D:2011-08-27,Local:11:00UTC:N/A,5.0,Udayapur
B.S:2068-5-8A.D:2011-08-25,Local:11:00UTC:N/A,4.4,Rolpa
B.S:2068-5-5A.D:2011-08-22,Local:11:00UTC:N/A,4.0,Kaski
B.S:2068-5-2A.D:2011-08-19,Local:11:00UTC:N/A,4.9,Bajhang
B.S:2068-5-1A.D:2011-08-18,Local:11:00UTC:N/A,4.0,Lamjung
B.S:2068-4-30A.D:2011-08-15,Local:11:00UTC:N/A,5.0,Ramechhap
B.S:2068-4-24A.D:2011-08-09,Local:11:00UTC:N/A,4.3,Bajhang
B.S:2068-4-17A.D:2011-08-02,Local:11:00UTC:N/A,4.0,Khotang
B.S:2068-4-13A.D:2011-07-29,Local:11:00UTC:N/A,4.2,Khotang
B.S:2068-3-31A.D:2011-07-15,Local:11:00UTC:N/A,4.5,Sankhuwasabha
B.S:2068-3-4A.D:2011-06-18,Local:11:00UTC:N/A,4.3,Sankhuwasabha
B.S:2068-3-3A.D:2011-06-17,Local:11:00UTC:N/A,4.2,Humla
B.S:2068-2-28A.D:2011-06-11,Local:11:00UTC:N/A,4.1,Rolpa
B.S:2068-2-28A.D:2011-06-11,Local:11:00UTC:N/A,4.2,Rolpa
B.S:2068-2-20A.D:2011-06-03,Local:11:00UTC:N/A,5.2,Taplejung
B.S:2067-12-24A.D:2011-04-07,Local:11:00UTC:N/A,4.1,Sindhupalchowk
B.S:2067-12-22A.D:2011-04-05,Local:11:00UTC:N/A,4.1,Darchula
B.S:2067-12-21A.D:2011-04-04,Local:11:00UTC:N/A,5.7,Darchula
B.S:2067-12-21A.D:2011-04-04,Local:11:00UTC:N/A,4.1,Darchula
B.S:2067-12-8A.D:2011-03-22,Local:11:00UTC:N/A,4.2,Pyuthan
B.S:2067-12-8A.D:2011-03-22,Local:11:00UTC:N/A,4.0,Kaski
B.S:2067-11-28A.D:2011-03-12,Local:11:00UTC:N/A,4.4,Kaski
B.S:2067-11-27A.D:2011-03-11,Local:11:00UTC:N/A,4.3,Kaski
B.S:2067-11-26A.D:2011-03-10,Local:11:00UTC:N/A,4.3,Rasuwa
B.S:2067-11-10A.D:2011-02-22,Local:11:00UTC:N/A,4.2,Sankhuwasabha
B.S:2067-11-1A.D:2011-02-13,Local:11:00UTC:N/A,4.7,Bhojpur-Sankhuwasabha border
B.S:2067-10-4A.D:2011-01-18,Local:11:00UTC:N/A,4.3,Sindhupalchowk
B.S:2067-10-4A.D:2011-01-18,Local:11:00UTC:N/A,4.1,Humla
B.S:2069-9-7A.D:2012-12-22,Local:11:50UTC:6:05 AM,4.5,Rolpa and Pyuthan border
B.S:2069-8-19A.D:2012-12-04,Local:08:46UTC:3:01 AM,4.0,North East Jajarkot
B.S:2069-7-27A.D:2012-11-12,Local:18:27UTC:12:42 PM,4.5,Bajhang
B.S:2069-7-26A.D:2012-11-11,Local:00:24UTC:6:39 PM,5.6,Southern Bajhang
B.S:2069-7-6A.D:2012-10-22,Local:12:41UTC:6:56 AM,4.5,Around Kanchanjunga
B.S:2069-6-1A.D:2012-09-17,Local:15:30UTC:9:45 AM,4.4,Southern Rukum
B.S:2069-5-14A.D:2012-08-30,Local:19:56UTC:2:11 PM,4.5,Southern Rukum
B.S:2069-5-13A.D:2012-08-29,Local:01:39UTC:7:54 PM,4.3,Northern Rolpa
B.S:2069-5-12A.D:2012-08-28,Local:14:16UTC:8:31 AM,4.4,Southeastern Dailekh 
B.S:2069-5-8A.D:2012-08-24,Local:06:02UTC:12:17 AM,4.4,Rolpa
B.S:2069-5-8A.D:2012-08-24,Local:09:40UTC:3:55 AM,5.2,Rolpa-Rukum border region
B.S:2069-5-7A.D:2012-08-23,Local:22:27UTC:4:42 PM,4.4,Rolpa
B.S:2069-5-7A.D:2012-08-23,Local:22:15UTC:4:30 PM,5.6,Rolpa - Rukum border region
B.S:2069-4-22A.D:2012-08-06,Local:07:38UTC:1:53 AM,4.2,Northern Taplejung
B.S:2069-4-16A.D:2012-07-31,Local:17:50UTC:12:05 PM,4.2,Southern Rukum
B.S:2069-4-16A.D:2012-07-31,Local:17:43UTC:11:58 AM,4.8,Southern Rukum
B.S:2069-4-16A.D:2012-07-31,Local:17:35UTC:11:50 AM,5.0,Southern Rukum
B.S:2069-4-13A.D:2012-07-28,Local:11:33UTC:5:48 AM,5.0,India (close to Darchula)
B.S:2069-3-27A.D:2012-07-11,Local:23:08UTC:5:23 PM,4.9,Southern Bajhang
B.S:2069-3-17A.D:2012-07-01,Local:13:39UTC:7:54 AM,4.0,Panchthar - Sikkim border
B.S:2069-3-1A.D:2012-06-15,Local:22:00UTC:4:15 PM,4.2,Dailekh
B.S:2069-2-29A.D:2012-06-11,Local:10:20UTC:4:35 AM,4.5,Panchthar - Sikkim border
B.S:2069-2-27A.D:2012-06-09,Local:13:39UTC:7:54 AM,5.1,Kaski
B.S:2069-2-17A.D:2012-05-30,Local:15:19UTC:9:34 AM,4.2,Taplejung
B.S:2069-1-5A.D:2012-04-17,Local:04:58UTC:11:13 PM,4.2,Salyan
B.S:2068-12-29A.D:2012-04-11,Local:08:37UTC:2:52 AM,4.3,Bajhang
B.S:2068-12-14A.D:2012-03-27,Local:05:25UTC:11:40 PM,5.2,Jhapa-India Border Region
B.S:2068-12-6A.D:2012-03-19,Local:02:21UTC:8:36 PM,4.7,Karkigaun-Jajarkot
B.S:2068-11-14A.D:2012-02-26,Local:04:41UTC:10:56 PM,4.4,Bajhang-Darchula border
B.S:2068-11-14A.D:2012-02-26,Local:04:53UTC:11:08 PM,4.9,Bajhang-Darchula border
B.S:2068-11-2A.D:2012-02-14,Local:19:33UTC:1:48 PM,4.4,Taplejung
B.S:2068-11-2A.D:2012-02-14,Local:19:26UTC:1:41 PM,4.5,Taplejung-Sikkim Border
B.S:2068-10-22A.D:2012-02-05,Local:01:51UTC:8:06 PM,4.0,Panchthar
B.S:2068-10-10A.D:2012-01-24,Local:09:52UTC:4:07 AM,4.0,Siraha
B.S:2068-10-5A.D:2012-01-19,Local:06:31UTC:12:46 AM,4.6,Humla
B.S:2068-10-4A.D:2012-01-18,Local:17:01UTC:11:16 AM,4.5,Siraha
B.S:2068-9-27A.D:2012-01-11,Local:14:44UTC:8:59 AM,4.2,Dailekh
B.S:2070-7-17A.D:2013-11-03,Local:12:32UTC:6:47 AM,4.3,Bajura
B.S:2070-7-11A.D:2013-10-28,Local:07:22UTC:1:37 AM,4.3,Sankhuwasava
B.S:2070-6-27A.D:2013-10-13,Local:03:28UTC:9:43 PM,4.5,Humla
B.S:2070-6-17A.D:2013-10-03,Local:11:57UTC:6:12 AM,5.7,Sikkim
B.S:2070-6-6A.D:2013-09-22,Local:20:20UTC:2:35 PM,4.4,Humla
B.S:2070-5-27A.D:2013-09-12,Local:10:14UTC:4:29 AM,4.5,Dhankuta
B.S:2070-5-14A.D:2013-08-30,Local:23:33UTC:5:48 PM,6.0,Tibet
B.S:2070-3-14A.D:2013-06-28,Local:17:25UTC:11:40 AM,5.5,Rukum
B.S:2070-3-13A.D:2013-06-27,Local:12:05UTC:6:20 AM,4.4,Darchula
B.S:2070-3-12A.D:2013-06-26,Local:04:07UTC:10:22 PM,4.4,Dhanusha
B.S:2070-2-26A.D:2013-06-09,Local:21:56UTC:4:11 PM,4.2,Northern Khotang
B.S:2070-2-17A.D:2013-05-31,Local:11:49UTC:6:04 AM,4.5,Northern Bajura
B.S:2070-2-12A.D:2013-05-26,Local:23:23UTC:5:38 PM,4.2,Sindhupalchok
B.S:2070-1-31A.D:2013-05-14,Local:15:44UTC:9:59 AM,4.5,Western Mugu
B.S:2070-1-31A.D:2013-05-14,Local:09:03UTC:3:18 AM,4.4,Mugu
B.S:2070-1-31A.D:2013-05-14,Local:08:58UTC:3:13 AM,4.3,Mugu
B.S:2070-1-15A.D:2013-04-28,Local:00:13UTC:6:28 PM,4.9,Northern Bajhang
B.S:2069-12-4A.D:2013-03-17,Local:17:44UTC:11:59 AM,4.2,Dhanusha
B.S:2069-11-23A.D:2013-03-06,Local:22:34UTC:4:49 PM,5.4,Rukum
B.S:2069-11-11A.D:2013-02-22,Local:08:26UTC:2:41 AM,4.1,Baglung
B.S:2069-10-25A.D:2013-02-07,Local:06:53UTC:1:08 AM,4.0,Bajhang
